record_id,party_ref,session_id,situation_id,segment_id,suggestion_id,product_type,CHAR_P1A_I1_age_band,CHAR_P1B_I1_vulnerability,CHAR_P1C_I1_employment,CHAR_F2A_I1_monthly_surplus,CHAR_F2B_I1_savings_balance,CHAR_F2I_I1_has_investment,CHAR_F2G_I1_high_cost_debt,CHAR_F2H_I1_financial_hardship,CHAR_F2J_I1_isa_sub_this_year,CHAR_F2K_I1_within_90d_tax_yr,CHAR_F2L_I1_account_tenure_mo,CHAR_F2M_I1_lump_sum,CHAR_F2N_I1_months_inactive,CHAR_F2O_I1_regular_saving,CHAR_F2P_I1_consec_months,CHAR_F2Q_I1_days_to_maturity,CHAR_F2R_I1_reinvest_instr,CHAR_P2A_I1_contrib_pct,CHAR_P2B_I1_active_dc,CHAR_P2C_I1_shortfall_flag,CHAR_P2D_I1_yrs_to_ret,CHAR_P2E_I1_default_fund,CHAR_P2F_I1_no_selection,CHAR_P2G_I1_recent_engage,CHAR_P2H_I1_life_event,CHAR_P2I_I1_access_plan,CHAR_P2J_I1_in_drawdown,CHAR_P2K_I1_db_transfer,CHAR_P2L_I1_pot_value,CHAR_P2M_I1_annuity_interest,CHAR_P2N_I1_months_review,CHAR_P2O_I1_cash_drag,CHAR_P2P_I1_recent_adviser,CHAR_B3A_I1_risk_appetite,CHAR_B3B_I1_invest_exp,CHAR_B3C_I1_channel,ml_confidence,ml_model_version,gap_fill_turns,graph_completeness,fca_ref,rule_R_001_outcome,rule_R_002_outcome,rule_R_003_outcome,rule_R_004_outcome,rule_R_005_outcome,rule_R_006_outcome,rule_R_007_outcome,rule_R_008_outcome,rule_R_009_outcome,rule_R_010_outcome,rule_R_011_outcome,rule_R_012_outcome,gate_disposition
bc792de4-47d4-4713-995b-c2bdb0855200,PARTY-00001,f7454017-d7f9-48e7-b40c-eb099fa04fac,SIT-INV-001,SEG-INV-001,SUG-INV-001,STOCKS_SHARES_ISA,3,True,1,342.0,37005.41,False,False,False,,,37,,,,,,,,,,,,,,,,,,,,,,,1.5,0,1,0.42,2.0.0,4,0.93,PS25/22-§SIT-INV-001,PASS,PASS,GATE,PASS,FAIL,FAIL,PASS,PASS,GATE,PASS,GATE,PASS,SUPPRESS
d812d0e3-c626-46cd-a2ca-028a7a873174,PARTY-00002,62d7198f-f576-4d30-8200-95b5d37479e2,SIT-INV-002,SEG-INV-002,SUG-INV-002,STOCKS_SHARES_ISA_REGULAR,1,False,1,511.91,9111.17,False,False,False,,,18,,,,,,,,,,,,,,,,,,,,,,,2.99,0,0,0.9,2.0.0,2,0.95,PS25/22-§SIT-INV-002,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
5c05f001-2db9-4567-a577-0a12ce3ff4e4,PARTY-00003,76e8a854-4fc1-4d32-889b-4b293788a9cb,SIT-INV-003,SEG-INV-003,SUG-INV-003,STOCKS_SHARES_ISA_TAX_YEAR,1,False,1,440.01,3945.41,False,False,False,False,True,38,,,,,,,,,,,,,,,,,,,,,,,2.36,1,0,0.84,2.0.0,3,0.96,PS25/22-§SIT-INV-003,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
bca84425-2e34-4aa2-a3be-53a255147eee,PARTY-00004,dbc10342-6dee-4d0e-a25d-6f6b9b3c67fd,SIT-INV-004,SEG-INV-004,SUG-INV-004,ISA_AND_GIA_LUMP_SUM,3,False,1,707.71,32133.18,False,False,False,,,19,16877.57,,,,,,,,,,,,,,,,,,,,,,2.27,2,0,0.91,2.0.0,5,0.94,PS25/22-§SIT-INV-004,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
22475998-5007-43ea-ad4f-38c19e83120f,PARTY-00005,92ba712a-0ed4-40d0-92dd-a134672b95db,SIT-INV-005,SEG-INV-005,SUG-INV-005,REVIEW_PROMPT_DO_NOTHING,2,False,1,580.12,17946.03,True,False,False,,,42,,14.0,,,,,,,,,,,,,,,,,,,,,2.71,1,0,0.88,2.0.0,4,0.97,PS25/22-§SIT-INV-005,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
ef23e5bf-a801-4173-8292-0df1cada12f3,PARTY-00006,46470567-0b66-43a7-a059-b71ed9f282d4,SIT-INV-006,SEG-INV-006,SUG-INV-006,STOCKS_SHARES_ISA_REGULAR_ADDITION,2,False,1,390.14,5867.36,False,False,False,,,25,,,50.0,9.0,,,,,,,,,,,,,,,,,,,1.97,1,1,0.83,2.0.0,3,1.0,PS25/22-§SIT-INV-006,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,SUPPRESS
26bf1c6c-7f20-413b-9cde-11bb2e04c33f,PARTY-00007,8bca2a17-43c1-44b6-a8f9-20e543d2945c,SIT-SD-001,SEG-SD-001,SUG-SD-001,MATURITY_REINVESTMENT_OPTIONS,2,False,1,195.14,28302.3,False,False,False,,,42,,,,,38.0,False,,,,,,,,,,,,,,,,,3.07,1,1,0.92,2.0.0,3,0.92,PS25/22-§SIT-SD-001,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
490b1ded-83ac-4c40-8d80-6093ea73fdfd,PARTY-00008,c759e91e-d4e5-4df5-a35b-443c8da7796a,SIT-PEN-001,SEG-PEN-001,SUG-PEN-001,DC_PENSION_CONTRIBUTION_INCREASE,3,False,1,220.38,466.85,False,False,False,,,22,,,,,,,6.75,True,True,23.0,,,,,,,,,,,,,3.05,1,1,0.84,2.0.0,4,0.97,PS25/22-§SIT-PEN-001,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
6907c51f-f62b-420a-a5d0-5cfed26e2162,PARTY-00009,842f7009-43f8-4bac-87a5-a2d82678893a,SIT-PEN-002,SEG-PEN-002,SUG-PEN-002,DC_PENSION_FUND_SWITCH,2,False,1,280.85,2910.84,False,False,False,,,30,,,,,,,5.61,True,,23.0,True,True,False,,,,,,,,,,1.97,0,1,0.87,2.0.0,4,0.96,PS25/22-§SIT-PEN-002,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
ccb63b72-1ebe-45a1-bf7e-0fc1cbb67ac1,PARTY-00010,014c913d-7aa0-43cc-99c2-d6e831913dd3,SIT-PEN-003,SEG-PEN-003,SUG-PEN-003,DC_PENSION_CONTRIBUTION_REVIEW,3,False,1,465.34,5681.13,False,False,False,,,12,,,,,,,5.11,True,,7.0,,,,True,,,,,,,,,1.7,1,0,0.89,2.0.0,2,0.92,PS25/22-§SIT-PEN-003,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EMIT
