age_band,savings_balance,monthly_surplus,risk_appetite_score,investment_experience,account_tenure_months,lump_sum_amount,regular_saving_amount,pension_contribution_pct,pension_pot_value,years_to_retirement,months_since_review,known_trait_count,conversation_turn,employment_status,channel,segment_id,situation_id,suggestion_id,record_id,party_ref,data_split
3.0,,232.85,3.12,2.0,27.0,,,,,,,10.0,4.0,1.0,0.0,SEG-INV-001,SIT-INV-001,SUG-INV-001,de80d220-14b7-4bd6-9a3a-7da7ff3d1813,ML-00001,TRAIN
2.0,7802.19,398.43,2.31,0.0,24.0,,,,,,,8.0,2.0,1.0,0.0,SEG-INV-002,SIT-INV-002,SUG-INV-002,4eab6110-8342-4fad-a22b-37266ad7ef4c,ML-00002,TRAIN
1.0,3797.6,214.41,2.46,1.0,25.0,,,,,,,7.0,1.0,1.0,1.0,SEG-INV-003,SIT-INV-003,SUG-INV-003,934fc1f4-10b9-4288-93c5-f1f173524634,ML-00003,TRAIN
2.0,28224.08,835.17,,0.0,25.0,35763.44,,,,,,8.0,2.0,1.0,1.0,SEG-INV-004,SIT-INV-004,SUG-INV-004,1af34e8d-f606-46f3-bdd0-8fb7016e4742,ML-00004,TRAIN
2.0,13815.18,,2.94,2.0,45.0,,,,,,,7.0,1.0,3.0,1.0,SEG-INV-005,SIT-INV-005,SUG-INV-005,c9b56a9d-b34d-43b7-8d4a-416d78e41a59,ML-00005,TRAIN
1.0,,467.28,,0.0,6.0,,138.66,,,,,7.0,1.0,1.0,1.0,SEG-INV-006,SIT-INV-006,SUG-INV-006,0a54d6d0-0207-49aa-9461-f856d1d53471,ML-00006,TRAIN
2.0,36489.03,584.12,3.84,0.0,41.0,,,,,,,7.0,1.0,2.0,1.0,SEG-SD-001,SIT-SD-001,SUG-SD-001,55be3195-6178-49ff-9ba3-95145114680f,ML-00007,TRAIN
2.0,2609.88,,3.36,0.0,,,,3.77,,12.0,,10.0,4.0,2.0,0.0,SEG-PEN-001,SIT-PEN-001,SUG-PEN-001,6b971bee-7c26-46dc-bb1f-5d0ca6c2b305,ML-00008,TRAIN
3.0,0.0,541.57,,1.0,,,,,,,,6.0,0.0,1.0,0.0,SEG-PEN-002,SIT-PEN-002,SUG-PEN-002,6f424b7f-8db7-4605-89d9-a9e23a666e62,ML-00009,TRAIN
1.0,,221.05,3.46,0.0,,,,10.17,,16.0,,9.0,3.0,2.0,1.0,SEG-PEN-003,SIT-PEN-003,SUG-PEN-003,ed1f734b-3856-477b-b989-509bb91566d2,ML-00010,TRAIN
3.0,,490.86,,0.0,,,,8.53,19155.33,,,6.0,0.0,2.0,1.0,SEG-DEC-001,SIT-DEC-001,SUG-DEC-001,172ab54e-9818-4fd7-92c7-8a6e671ea258,ML-00011,TRAIN
4.0,6221.77,286.2,1.4,1.0,,,,,26310.9,5.0,,11.0,5.0,2.0,1.0,SEG-DEC-002,SIT-DEC-002,SUG-DEC-002,82675753-5af1-4484-9cb1-871479e3b7fa,ML-00012,TRAIN
4.0,22535.28,373.46,,0.0,,,,,,,,7.0,1.0,3.0,0.0,SEG-DEC-003,SIT-DEC-003,SUG-DEC-003,88ee6074-2f88-41b4-9669-2605241a72bf,ML-00013,TRAIN
4.0,,,2.79,1.0,,,,0.0,92341.09,3.0,,10.0,4.0,2.0,1.0,SEG-DEC-004,SIT-DEC-004,SUG-DEC-004,da1b4d12-1028-40da-923c-523b16a85135,ML-00014,TRAIN
2.0,22779.15,,,0.0,29.0,,,,,,,7.0,1.0,1.0,1.0,SEG-INV-001,SIT-INV-001,SUG-INV-001,910088a3-958a-47b4-b380-3a46edcf6a2f,ML-00015,TRAIN
1.0,,362.21,2.03,0.0,16.0,,,,,,,9.0,3.0,1.0,0.0,SEG-INV-002,SIT-INV-002,SUG-INV-002,95d41f00-74c2-4034-bcea-a7803acee36d,ML-00016,TRAIN
2.0,,425.57,,2.0,23.0,,,,,,,7.0,1.0,1.0,1.0,SEG-INV-003,SIT-INV-003,SUG-INV-003,d251bc6b-b0eb-4668-99a9-e6146b6f54ca,ML-00017,TRAIN
1.0,2000.0,451.45,1.96,0.0,6.0,39463.51,,,,,,11.0,5.0,1.0,1.0,SEG-INV-004,SIT-INV-004,SUG-INV-004,2d26292e-0583-4d23-a447-e6f979b89520,ML-00018,TRAIN
3.0,9716.26,534.16,2.12,1.0,45.0,,,,,,,10.0,4.0,2.0,1.0,SEG-INV-005,SIT-INV-005,SUG-INV-005,dad08b65-5302-4c49-bbcb-4f50b6882363,ML-00019,TRAIN
